layer_name,layer_type,layer_depth,rows,cols,full_rank,effective_rank,effective_rank_ratio,stable_rank,stable_rank_ratio,participation_ratio,participation_ratio_ratio,frobenius_norm,top_singular_value,rank_at_90,rank_at_90_ratio,rank_at_95,rank_at_95_ratio,rank_at_99,rank_at_99_ratio,relative_error_r4,relative_error_r8,relative_error_r16,relative_error_r32,relative_error_r64
bert.encoder.layer.3.attention.self.value.weight,attention,3,768,768,768,487.4976,0.6348,30.1292,0.0392,115.4534,0.1503,5.385221,0.981092,235,0.306,321,0.418,488,0.6354,0.945224,0.904513,0.84364,0.755084,0.632002
bert.encoder.layer.3.attention.output.dense.weight,attention,3,768,768,768,485.6711,0.6324,23.2095,0.0302,99.3043,0.1293,5.483675,1.138254,231,0.3008,320,0.4167,490,0.638,0.935492,0.891046,0.826187,0.736092,0.617356
bert.encoder.layer.3.intermediate.dense.weight,ffn,3,3072,768,768,651.6462,0.8485,13.9993,0.0182,109.1506,0.1421,11.90613,3.182129,430,0.5599,547,0.7122,701,0.9128,0.93508,0.907123,0.865824,0.807962,0.731035
bert.encoder.layer.3.output.dense.weight,ffn,3,768,3072,768,631.3189,0.822,19.5967,0.0255,99.3829,0.1294,11.000007,2.484858,402,0.5234,528,0.6875,696,0.9062,0.921966,0.880069,0.828407,0.763244,0.681023
bert.encoder.layer.4.attention.self.query.weight,attention,4,768,768,768,464.4958,0.6048,22.1979,0.0289,83.5973,0.1089,5.956767,1.264313,210,0.2734,297,0.3867,469,0.6107,0.925372,0.87425,0.801819,0.705429,0.584227
bert.encoder.layer.4.attention.self.key.weight,attention,4,768,768,768,478.828,0.6235,19.2903,0.0251,92.4487,0.1204,5.897563,1.342775,226,0.2943,314,0.4089,482,0.6276,0.931683,0.888588,0.822293,0.727878,0.607215
bert.encoder.layer.4.attention.self.value.weight,attention,4,768,768,768,483.099,0.629,18.7512,0.0244,93.0115,0.1211,5.421479,1.251998,229,0.2982,317,0.4128,486,0.6328,0.930016,0.887804,0.826517,0.738231,0.617957
bert.encoder.layer.4.attention.output.dense.weight,attention,4,768,768,768,486.3605,0.6333,16.9945,0.0221,86.8723,0.1131,5.431549,1.317556,232,0.3021,322,0.4193,491,0.6393,0.92517,0.881209,0.817881,0.730402,0.613864
bert.encoder.layer.4.intermediate.dense.weight,ffn,4,3072,768,768,640.4296,0.8339,9.7715,0.0127,66.9785,0.0872,12.071106,3.861589,412,0.5365,534,0.6953,695,0.9049,0.913117,0.88173,0.839668,0.779858,0.70112
bert.encoder.layer.4.output.dense.weight,ffn,4,768,3072,768,631.486,0.8222,13.5889,0.0177,87.064,0.1134,10.938735,2.967396,401,0.5221,527,0.6862,695,0.9049,0.91977,0.883446,0.833252,0.765394,0.681228
bert.encoder.layer.5.attention.self.query.weight,attention,5,768,768,768,462.0493,0.6016,23.1502,0.0301,83.9766,0.1093,5.75633,1.196377,206,0.2682,295,0.3841,468,0.6094,0.928709,0.876432,0.800363,0.700251,0.577635
bert.encoder.layer.5.attention.self.key.weight,attention,5,768,768,768,474.3056,0.6176,19.3133,0.0251,83.4576,0.1087,5.751739,1.308793,220,0.2865,308,0.401,479,0.6237,0.922239,0.874223,0.8071,0.715099,0.597763
bert.encoder.layer.5.attention.self.value.weight,attention,5,768,768,768,493.3174,0.6423,26.8246,0.0349,105.2865,0.1371,5.283837,1.020194,241,0.3138,330,0.4297,498,0.6484,0.937369,0.894385,0.831439,0.74444,0.628186
bert.encoder.layer.5.attention.output.dense.weight,attention,5,768,768,768,495.6865,0.6454,25.3632,0.033,107.7633,0.1403,5.265772,1.045587,243,0.3164,333,0.4336,500,0.651,0.939091,0.898499,0.835949,0.746049,0.630222
bert.encoder.layer.5.intermediate.dense.weight,ffn,5,3072,768,768,639.8289,0.8331,8.1621,0.0106,52.3155,0.0681,11.970096,4.189832,411,0.5352,533,0.694,695,0.9049,0.905508,0.87395,0.831917,0.772593,0.695173
bert.encoder.layer.5.output.dense.weight,ffn,5,768,3072,768,624.8094,0.8136,15.3865,0.02,91.813,0.1195,10.679385,2.722555,390,0.5078,518,0.6745,691,0.8997,0.923151,0.883691,0.827758,0.757729,0.672068
bert.encoder.layer.6.attention.self.query.weight,attention,6,768,768,768,448.7309,0.5843,14.5199,0.0189,55.4479,0.0722,5.830732,1.530175,190,0.2474,279,0.3633,457,0.5951,0.888777,0.833247,0.758074,0.660496,0.543475
bert.encoder.layer.6.attention.self.key.weight,attention,6,768,768,768,462.1524,0.6018,14.9238,0.0194,60.4805,0.0788,5.842628,1.512404,205,0.2669,294,0.3828,470,0.612,0.897274,0.839708,0.768161,0.67813,0.565927
